id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,average_bill,remaining_contract_months,service_failure_count,average_download_speed,average_upload_speed,download_over_limit,churn,total_average_speed,,,,Number of people left
15,1,0,11.95,25,0.14,0,8.4,2.3,0,0,10.7,,,,
18,0,0,8.22,0,0,0,0,0,0,1,0,,,,
23,1,0,8.91,16,0,0,13.7,0.9,0,1,14.6,,"10.7,0,14.6,0,0,73.4",id,"id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,average_bill,remaining_contract_months,service_failure_count,average_download_speed,average_upload_speed,download_over_limit,churn,total_average_speed"
27,0,0,6.87,21,0,1,0,0,0,1,0,,,is_tv_subscriber,
34,0,0,6.39,0,0,0,0,0,0,1,0,,,is_movie_package_subscriber,
56,1,1,11.94,32,1.38,0,69.4,4,0,0,73.4,,,subscription_age,
71,0,0,8.96,18,0,0,21.3,2,0,1,23.3,,,average_bill,
84,0,0,5.48,14,0,1,0,0,0,1,0,,,remaining_contract_months,
94,0,0,8.54,0,0,0,0,0,0,1,0,,,service_failure_count,
112,0,0,8.33,0,0,0,0,0,0,1,0,,,average_download_speed,
166,1,1,8.44,17,0,0,9.9,1.1,0,1,11,,,average_upload_speed,
174,1,1,11.93,10,1.28,0,10.6,0.6,0,0,11.2,,,download_over_limit,
213,0,0,6.64,10,0,0,0,0,0,1,0,,,churn,
222,0,0,5.53,14,0,0,0,0,0,1,0,,,total_average_speed,
270,0,0,6.97,23,0.28,0,0,0,0,1,0,,,,
288,1,1,11.93,18,1.8,0,1,0,0,0,1,,,,
291,1,0,11.93,22,0.01,1,10.6,2.4,0,0,13,,,,
417,0,0,6.45,40,0,0,0,0,0,1,0,,,,
475,0,0,6.81,14,0,0,0,0,0,1,0,,,,
507,1,1,11.93,65,0.21,0,116.8,12.1,0,0,128.9,,,,
530,0,0,5.95,0,0,0,0,0,0,1,0,,,,
549,1,0,11.93,24,0,0,9.3,0.7,0,0,10,,,71073,65976
550,0,0,8.53,0,0,0,0,0,0,1,0,,,72274,
600,0,0,11.93,41,0,0,24.1,3.2,0,0,27.3,,,0.983382683,0.912859396
608,0,0,8.57,20,0,0,0,0,0,1,0,,,,
617,0,0,11.93,21,0,0,27.8,2.1,0,0,29.9,,,,
642,0,0,5.21,14,0,0,0,0,0,1,0,,,,
644,0,0,5.93,0,0,0,0,0,0,1,0,,,,
680,0,0,7.02,13,0,0,0,0,0,1,0,,,,
682,1,0,10.93,63,0,0,38.1,7.9,0,1,46,,,,
683,0,0,6.03,9,0,0,0,0,0,1,0,,,,
696,0,0,9.22,80,0,0,235,6,0,1,241,,,,
730,0,0,5.62,0,0,0,0,0,0,1,0,,,,
734,0,0,6.6,54,0,0,0,0,0,1,0,,,,
774,0,0,11.12,33,0,0,11.4,1.6,0,1,13,,,,
790,0,0,11.88,129,0,0,125.8,9.2,0,1,135,,,,
831,0,0,5.44,18,0,0,0,0,0,1,0,,,,
848,0,0,5.62,0,0,0,0,0,0,1,0,,,,
861,1,0,11.93,45,1.83,0,70.3,9.7,0,0,80,,,,
905,0,0,5.62,0,0,0,0,0,0,1,0,,,,
921,1,0,6.35,21,0,0,0,0,0,1,0,,,,
928,0,0,6.64,14,0,2,0,0,0,1,0,,,,
933,1,0,5.3,79,0,2,0,0,0,1,0,,,,
945,0,0,5.62,0,0,0,0,0,0,1,0,,,,
977,1,1,11.93,16,1.82,0,19.4,1.9,0,0,21.3,,,,
999,0,0,5.53,13,0,0,0,0,0,1,0,,,,
1006,1,0,10.26,17,0,0,0,0,0,1,0,,,,
1038,0,0,5.7,0,0,0,0,0,0,1,0,,,,
1048,0,0,7.79,10,0,0,0,0,0,1,0,,,,
1051,1,1,8.13,22,0,0,10.2,7.4,0,1,17.6,,,,
1061,0,0,10.8,0,0,0,0,0,0,1,0,,,,
1075,1,1,11.93,23,1.85,0,17.5,5.9,0,0,23.4,,,,
1151,0,0,11.93,24,0,0,27.8,2.1,0,0,29.9,,,,
1162,1,0,11.93,33,0,0,40.9,2,0,0,42.9,,,,
1169,1,1,11.93,24,0,0,27.8,2.1,0,0,29.9,,,,
1201,0,0,5.7,10,0,0,0,0,0,1,0,,,,
1206,1,0,9.18,20,0,0,0,0,0,1,0,,,,
1226,0,0,9.75,0,0,0,0,0,0,1,0,,,,
1266,1,1,11.93,16,1.56,0,28.3,2.1,0,0,30.4,,,,
1281,0,0,5.62,0,0,0,0,0,0,1,0,,,,
1296,1,0,6.79,17,0.45,0,0,0,0,1,0,,,,
1311,0,0,5.1,13,0,0,0,0,0,1,0,,,,
1327,0,0,7.61,13,0,0,0,0,0,1,0,,,,
1413,0,0,11.93,24,0,0,27.8,2.1,0,0,29.9,,,,
1414,0,0,5.28,13,0,0,0,0,0,1,0,,,,
1416,0,0,7.64,39,0,0,0,0,0,1,0,,,,
1455,0,0,6.97,14,0,0,0,0,0,1,0,,,,
1457,1,1,6.92,0,0,0,0,0,0,1,0,,,,
1492,1,1,11.93,20,1.8,1,62.6,5.2,0,0,67.8,,,,
1517,1,0,11.93,37,0.44,0,26.5,2.2,0,0,28.7,,,,
1522,1,1,11.93,10,1.21,0,10.1,0.3,0,0,10.4,,,,
1568,0,0,5.62,0,0,0,0,0,0,1,0,,,,
1662,1,1,11.93,21,0.21,0,48.2,2.9,0,0,51.1,,,,
1664,0,0,9.21,24,0,0,0,0,0,1,0,,,,
1684,0,0,5.72,0,0,0,0,0,0,1,0,,,,
1693,0,0,5.62,0,0,0,0,0,0,1,0,,,,
1694,0,0,6.12,14,0,0,0,0,0,1,0,,,,
1709,0,0,11.93,56,0,6,117.3,15.1,0,0,132.4,,,,
1717,1,0,10.08,20,0,0,0,0,0,1,0,,,,
1733,0,0,6.81,12,0,0,0,0,0,1,0,,,,
1744,1,1,8.19,14,0,4,11.5,2,0,1,13.5,,,,
1746,0,0,8.04,17,0,0,0,0,0,1,0,,,,
1778,0,0,6.23,14,0,0,0,0,0,1,0,,,,
1783,0,0,11.93,69,0.52,1,584.6,21.3,0,0,605.9,,,,
1793,0,0,11.93,33,0,2,54.7,3.1,0,0,57.8,,,,
1805,0,0,11.93,24,0,0,27.8,2.1,0,0,29.9,,,,
1810,1,1,11.93,40,1.1,0,446.2,8.9,0,0,455.1,,,,
1844,1,1,5.99,24,0,0,0,0,0,1,0,,,,
1878,1,0,11.93,24,0,0,2.9,0.3,0,0,3.2,,,,
1893,1,1,8.38,46,0,0,10.8,0.9,0,1,11.7,,,,
1901,0,0,8.25,50,0,1,95.1,7,0,1,102.1,,,,
1915,1,0,11.09,15,0,0,0,0,0,1,0,,,,
1917,1,1,11.93,10,1.2,0,26.7,2.6,0,0,29.3,,,,
1934,0,0,7.29,14,0,1,10.2,0.8,0,1,11,,,,
1947,0,0,5.34,53,0,0,0,0,0,1,0,,,,
1950,1,1,11.93,15,1.66,0,2.8,0.2,0,0,3,,,,
1965,0,0,8.72,40,0,0,161.6,17,0,1,178.6,,,,
1966,0,0,5.52,13,0,0,0,0,0,1,0,,,,
1975,1,0,11.93,30,0.97,0,168.6,15.6,0,0,184.2,,,,
1977,1,0,7.81,24,0,1,12.2,1,0,1,13.2,,,,
2005,1,1,12.8,0,0,0,0,0,0,1,0,,,,
2008,0,0,11.93,56,0,0,1140.3,65.4,0,0,1205.7,,,,
2017,1,1,6.29,14,0,0,0,0,0,1,0,,,,
2047,0,0,8.75,21,0,0,13.7,1.7,0,1,15.4,,,,
2097,1,1,5.62,0,0,0,0,0,0,1,0,,,,
2110,0,0,5.62,0,0,0,0,0,0,1,0,,,,
2116,0,0,6.42,0,0,0,0,0,0,1,0,,,,
2122,0,0,6.35,22,0,2,0,0,0,1,0,,,,
2135,0,0,6.24,11,0,0,0,0,0,1,0,,,,
2142,0,0,5.14,14,0,0,0,0,0,1,0,,,,
2202,0,0,7.22,14,0,0,0,0,0,1,0,,,,
2203,0,0,9.38,20,0,1,2,0.2,0,1,2.2,,,,
2238,0,0,7.82,8,0,0,0,0,0,1,0,,,,
2248,1,0,11.93,25,0.4,0,27.8,2.1,0,0,29.9,,,,
2252,1,0,9.59,25,0,10,77.5,4.8,0,1,82.3,,,,
2290,1,0,8.27,22,0,5,96.1,5.7,0,1,101.8,,,,
2334,1,0,10.55,22,0,0,5,0.4,0,1,5.4,,,,
2371,0,0,5.64,14,0,0,0,0,0,1,0,,,,
2416,1,0,8.36,0,0,0,0,0,0,1,0,,,,
2499,0,0,6.54,0,0,3,0,0,3,1,0,,,,
2538,0,0,7.09,7,0,0,0,0,0,1,0,,,,
2567,1,1,11.93,59,0.46,0,78.2,36.4,0,0,114.6,,,,
2581,1,0,6.83,12,0,0,0,0,0,1,0,,,,
2587,1,1,9.23,20,0,0,0,0,0,1,0,,,,
2684,0,0,5.62,0,0,0,0,0,0,1,0,,,,
2705,0,0,5.62,0,0,0,0,0,0,1,0,,,,
2733,1,0,11.93,25,0.04,0,24.6,3.5,0,0,28.1,,,,
2760,0,0,10.24,0,0,0,0,0,0,1,0,,,,
2781,1,1,11.93,15,1.26,0,7.1,0.9,0,0,8,,,,
2790,1,0,9.96,29,0,0,18.5,4,0,1,22.5,,,,
2796,0,0,5.47,16,0,0,0,0,0,1,0,,,,
2839,1,1,11.93,21,1.74,0,111.9,6.6,0,0,118.5,,,,
2852,0,0,11.93,24,0,0,27.8,2.1,0,0,29.9,,,,
2858,1,1,8.45,37,0,2,10.1,1.6,0,1,11.7,,,,
2882,0,0,7.04,13,0,0,0,0,0,1,0,,,,
2903,1,0,11.93,24,0,0,10,0.7,0,0,10.7,,,,
2926,1,1,11.93,34,1.68,2,265.7,18.4,0,0,284.1,,,,
2943,0,0,11.93,24,0,0,0.7,0.1,0,0,0.8,,,,
2945,0,0,5.7,0,0,0,0,0,0,1,0,,,,
2997,0,0,5.25,0,0,0,0,0,0,1,0,,,,
3017,1,1,11.7,24,0,0,0,0,0,1,0,,,,
3033,0,0,11.51,24,0,0,0,0,0,1,0,,,,
3061,1,0,5.51,0,0,0,0,0,0,1,0,,,,
3086,1,1,11.93,17,1.77,0,14.1,1,0,0,15.1,,,,
3121,1,0,10.19,14,0,0,29,2,0,1,31,,,,
3133,1,0,11.93,21,0.12,0,107.3,2.7,0,0,110,,,,
3175,0,0,6.26,13,0,0,0,0,0,1,0,,,,
3191,1,0,7.91,24,0,0,11.4,1.6,0,1,13,,,,
3196,0,0,5.62,0,0,0,0,0,0,1,0,,,,
3199,1,0,5.3,12,0,0,0,0,3,1,0,,,,
3210,1,1,11.93,15,1.65,0,5.2,0.2,0,0,5.4,,,,
3226,0,0,8.33,18,0,0,0,0,0,1,0,,,,
3233,0,0,9.06,20,0,0,0,0,0,1,0,,,,
3252,1,0,11.89,24,0,0,0,0,0,1,0,,,,
3267,1,0,7.85,5,0,0,0,0,0,1,0,,,,
3274,0,0,7.21,10,0,0,0,0,0,1,0,,,,
3288,0,0,7.31,14,0,0,2.5,0.2,0,1,2.7,,,,
3329,0,0,7.44,22,0,2,18.1,2.6,0,1,20.7,,,,
3374,0,0,5.34,0,0,0,0,0,0,1,0,,,,
3388,0,0,12.16,0,0,0,0,0,0,1,0,,,,
3410,1,1,11.93,15,1.32,1,68.8,3.9,0,0,72.7,,,,
3433,0,0,6.92,21,0.33,1,0,0,0,1,0,,,,
3448,1,1,10.56,0,0,0,0,0,0,1,0,,,,
3455,1,1,11.93,48,1.01,1,113.2,7.6,0,0,120.8,,,,
3473,0,0,5.53,0,0,0,0,0,0,1,0,,,,
3475,0,0,5.61,0,0,0,0,0,0,1,0,,,,
3476,1,0,8.95,42,0,0,37.6,5.6,0,1,43.2,,,,
3477,0,0,5.69,13,0,0,0,0,0,1,0,,,,
3488,1,0,11.93,22,1.06,0,11.4,0.5,0,0,11.9,,,,
3521,0,0,5.94,0,0,0,0,0,0,1,0,,,,
3531,0,0,5.47,0,0,0,0,0,0,1,0,,,,
3547,0,0,7.73,0,0,0,0,0,0,1,0,,,,
3634,0,0,5.69,0,0,0,0,0,0,1,0,,,,
3649,0,0,6.07,0,0,0,0,0,0,1,0,,,,
3707,0,0,7.47,0,0,0,0,0,0,1,0,,,,
3714,0,0,7.36,0,0,0,0,0,0,1,0,,,,
3733,0,0,8.32,0,0,0,0,0,0,1,0,,,,
3793,0,0,5.43,18,0,0,0,0,0,1,0,,,,
3861,0,0,6.46,0,0,0,0,0,0,1,0,,,,
3926,1,1,11.06,22,0,0,7.1,0.8,0,1,7.9,,,,
3964,1,0,8.49,0,0,0,0,0,0,1,0,,,,
4024,0,0,9.28,0,0,0,0,0,0,1,0,,,,
4032,0,0,6.45,14,0,0,0,0,0,1,0,,,,
4045,0,0,6.41,21,0,0,0,0,0,1,0,,,,
4082,1,0,11.02,0,0,0,0,0,0,1,0,,,,
4158,0,0,5.94,0,0,0,0,0,0,1,0,,,,
4259,1,1,8.78,20,0,0,3,0.5,0,1,3.5,,,,
4263,0,0,12.61,0,0,0,0,0,0,1,0,,,,
4271,1,1,12.44,21,0,0,4.8,0.1,0,1,4.9,,,,
4297,1,0,8.05,0,0,0,0,0,0,1,0,,,,
4347,0,0,5.69,0,0,0,0,0,0,1,0,,,,
